case_id,year,paper_code,paper_id,title,problem_types,models,validation_methods,core_problem,data_features,card_path,source_pdf
case-014,2014,A377,1700785,嫦娥三号软着陆轨道设计与控制策略,优化 | 机理/动力学 | 图像评价,牛顿动力学 | 轨迹离散化 | 全局最优模型 | 平坦度评价,局部灵敏度分析 | 分阶段误差分析,由月球轨道和高程图确定准备轨道、六阶段最小燃耗控制及安全着陆点，并评估推力和初始高度扰动。,连续动力学和离散高程图并存；六阶段具有不同状态约束，主减速段水平位移占主导。,cases/case-014.md,2014/A377_1A1102-A377-嫦娥三号软着陆轨道设计与控制策略-中国计量学院-论文_[1700785].pdf
case-015,2014,A398,1700769,嫦娥三号软着陆轨道设计与控制策略,机理模型 | 非线性优化 | 图像分析 | 敏感性分析,坐标变换 | 霍曼转移 | 离散动力学 | 非线性规划 | 高程筛选 | 控制变量法,单因素敏感性 | 联合扰动分析 | 轨迹仿真 | 约束可行性检查,将月球软着陆从轨道定位、六阶段制导到误差分析统一为有物理初值的离散动力学优化，并利用地形数据选择安全落区。,连续状态与控制按时间离散；输入含轨道要素、推力/比冲、阶段高度速度条件及数字高程图。部分轨道要素不是题目直接给定，论文采用假设值，因此位置结果带条件性。,cases/case-015.md,2014/A398_1A1917-A398嫦娥三号软着陆轨道设计与控制策略-华南农业大学-论文下载_[1700769].pdf
case-016,2014,A499,1700772,嫦娥三号软着陆轨道设计与控制策略,优化 | 机理/动力学 | 图像处理,二维极坐标动力学 | 非线性规划 | 加权评分 | 局部避障规划,系统误差分析 | 单因素±5%灵敏度 | 稳定性说明,在六阶段软着陆中联合求取轨道位置、燃耗最小控制和粗精两级避障着陆区，并量化主要工程误差。,动力学参数、发动机推力范围、粗细两幅高程图和端点状态约束共同驱动模型。,cases/case-016.md,2014/A499_1A1108-A499嫦娥三号软着陆轨道设计与控制策略-浙江工业大学-论文_[1700772].pdf
case-020,2014,A题,1700789,嫦娥三号软着陆轨道设计与控制策略,优化 | 机理/动力学 | 聚类,二体模型 | 非线性规划 | 序列化遗传算法 | K均值聚类 | 空间线性回归,相对误差分析 | 初值与约束灵敏度,逆推软着陆初始轨道，求六阶段低燃耗控制，并从高程图识别安全着陆区与评估方案对初值扰动的稳定性。,边值动力学、非凸控制变量和两级高程图叠加；正向解析条件不足，需仿真逆推。,cases/case-020.md,2014/嫦娥三号软着陆轨道设计与控制策略-东南大学-论文_[1700789].pdf
case-017,2014,B009,1700523,创意平板折叠桌的设计加工,几何建模 | 多目标优化 | 参数化设计,直纹曲面 | 空间解析几何 | 多目标非线性优化 | 参数方程 | 动态仿真,几何闭合检查 | 约束可行性检查 | MATLAB动态图 | 目标形状对照,由木条、铰链、钢筋和滑槽的运动几何反推桌脚曲面、槽长与加工参数，并在稳固、节料和易加工之间选择设计。,输入为板长宽厚、木条宽度、桌高/桌面直径和客户期望边缘曲线；木条离散但运动可由连续参数描述，几何、运动、稳定和加工约束耦合。,cases/case-017.md,2014/B009_1B1616-B009创意平板折叠桌的设计加工-信阳师范学院-论文下载_[1700523].pdf
case-018,2014,B336,1700755,创意平板折叠桌的优化设计,机构建模 | 多目标优化 | 曲线拟合,定轴转动 | 空间解析几何 | MOP非线性规划 | 图解可行域 | 最小二乘曲线逼近,可行域检查 | 动态仿真 | 目标曲线距离 | 约束复核,刻画折叠桌构件从平板到桌态的运动，并在稳定、材料与加工目标之间求可制造参数；进一步把任意客户轮廓转成最接近的桌脚边缘。,板与木条尺寸离散且对称；设计变量主要为板长、钢筋位置和旋转状态，约束含几何、运动和静力平衡；第三问输入为客户提供的连续边缘曲线。,cases/case-018.md,2014/B336_1B0104-B336创意平板折叠桌的优化设计-兰州理工大学-论文下载_[1700755].pdf
case-019,2014,C055,1700430,关于生猪养殖场经营管理的研究,盈亏分析 | 整数优化 | 生产计划,盈亏平衡方程 | 容量规划 | 最小二乘拟合 | 0-1规划 | 多期利润优化,收支平衡核对 | 容量与流量守恒检查 | 拟合图检查 | 情景对照,在繁育周期、存栏容量、种猪替代、生产/出栏时序和价格条件下，确定养猪场能否盈亏平衡及三年经营策略。,题目数据与外部收集的成本/价格混合；生猪具有繁育、生长、淘汰和出栏时滞，总存栏上限10000头；价格数据为年度小样本，第三问还使用题目预测曲线。,cases/case-019.md,2014/C055_1C1501-C055关于生猪养殖场经营管理的研究-论文下载_[1700430].pdf
case-021,2015,A048,1700970,太阳影子定位的多目标优化模型,机理建模 | 反问题 | 多目标优化 | 参数辨识,太阳位置解析模型 | 多目标L1优化 | 粗细两级网格搜索 | 二次曲线拟合,角度残差表 | 影长回代 | 候选解对比 | 误差分析,从一段竖杆影长和方向随时间的观测，反演地点、日期与杆长，并处理天文反问题的多解性。,附件1为已知日期下21个时刻的二维影端点；附件2、3还未知日期；附件4来自视频。未知量连续、目标非凸，季节和南北半球对称会产生多个候选解。,cases/case-021.md,2015/A048_1A23003-A048太阳影子定位的多目标优化模型-数学建模竞赛优秀论文下载_[1700970].pdf
case-022,2015,A095,1699712,太阳影子定位模型,机理建模 | 多目标规划 | 全局优化 | 计算机视觉,太阳位置解析模型 | 双目标规划 | 网格逼近 | 粒子群优化 | Hough变换与透视矫正,残差比 | 算法结果交叉比较 | 敏感性分析 | 真实资料对照,联合使用影长和方位变化反演地点与日期，并在搜索维度增加后以粒子群降低穷举成本。,短时影端点序列既含尺度信息也含方向信息；坐标轴朝向未知，日期与地点存在对称候选；视频为斜视投影，需先几何矫正。,cases/case-022.md,2015/A095_1A27002-A095太阳影子定位模型-数学建模竞赛优秀论文下载_[1699712].pdf
case-023,2015,A135,1699713,太阳影子定位,机理建模 | 分层多目标优化 | 非线性规划 | 视频追踪,太阳位置解析模型 | 词典序多目标规划 | 遍历搜索 | 非线性最小二乘 | 动态影端追踪,公式误差校正 | 局部最优点扫描 | 残差地形可视化 | 资料对照,在天文公式存在系统误差、逆问题具有局部最优的条件下，用分层目标和误差地形寻找地点日期候选。,附件为短时影端点；时间、经纬度和日期进入周期性天文函数，目标面多峰；视频追踪能得到像素轨迹但论文未做通用透视矫正。,cases/case-023.md,2015/A135_1A32001-A135太阳影子定位-数学建模竞赛优秀论文下载_[1699713].pdf
case-024,2015,A220,1700969,基于L-M优化算法的太阳影子定位模型,非线性回归 | 参数辨识 | 机理建模 | 视频量测,太阳影长解析模型 | Levenberg-Marquardt算法 | 非线性最小二乘 | 两阶段拟合 | 视频抽帧,理论值回代 | 偏差检查 | 参数初值风险分析,把地点、日期、杆长和视频视角作为非线性回归参数，通过趋势预筛与两阶段L-M拟合完成定位。,影长为天文参数的强非线性函数；附件2、3日期未知而参数冗余；视频每2分钟抽帧，观测到的是投影长度；L-M对初值敏感。,cases/case-024.md,2015/A220_1A18006-A220基于L-M 优化算法的太阳影子定位模型-数学建模竞赛优秀论文下载_[1700969].pdf
case-025,2015,A428,1700968,太阳影子定位,机理建模 | 单目标与多目标优化 | 智能优化 | 图像处理,太阳影长解析模型 | 拟牛顿法 | 人工鱼群算法 | Canny边缘检测 | 透视变换,误差传递 | 文献数据检验 | 替代数据回代 | 单因素敏感性分析,把经纬度、日期、杆高的反演按未知量逐步升级，并用不同优化器匹配单目标局部求解和多目标全局搜索。,附件1—3为二维影端点序列，问题三日期未知导致维度和多峰性增加；视频需灰度化、二值化、边缘提取和透视变换。,cases/case-025.md,2015/A428_1A17011-A428太阳影子定位-数学建模竞赛优秀论文下载_[1700968].pdf
case-026,2015,B006,1699718,“互联网+”时代的出租车资源配置模型,评价 | 聚类 | 优化 | 仿真,供求匹配度 | 参数均值聚类 | 三次样条插值 | 线性规划 | 动态任务分派,跨城市对比 | 补贴前后对比 | 随机场景模拟,构造时空供求匹配与打车难指标，评价既有补贴，并设计兼顾分布均衡、动态派单和等待时间的新补贴机制。,城市级出租车供需数据稀疏且时空异质，需插值；补贴影响通过等待时间、空载率和供需刺激函数传导。,cases/case-026.md,2015/B006_1B27007_B006“互联网+”时代的出租车资源配置模型-数学建模竞赛优秀论文下载_[1699718].pdf
case-027,2015,B013,1699785,“互联网+”时代的出租车资源配置,综合评价 | 供需匹配 | 政策仿真 | 动态资源配置,里程利用率-供求比二维距离 | 补贴缓解率模型 | 指数响应函数 | 分区动态补贴 | 计算机仿真,场景对比 | 补贴前后仿真 | 时空分组结果检查,构造可比较的供需失衡指标，判断现有补贴是否缓解打车难，并按区域实时配置补贴。,宏观统计与西安分时分区平台数据混合；乘客和司机空间分布、补贴响应函数均依赖强假设，政策效果缺少随机对照。,cases/case-027.md,2015/B013_1B27002_B013“互联网+”时代的出租车资源配置--数学建模竞赛优秀论文下载_[1699785].pdf
case-028,2015,B285,1699714,“互联网+”时代的出租车资源配置,时空分析 | 聚类 | 路径与行为仿真 | 福利优化,空间插值 | 聚簇分析 | 供求满意度函数 | 网格最短路径矩阵 | 社会福利最大化,拟合优度R2 | 输入扰动敏感性 | 场景趋势比较 | 鲁棒性检查,从时空样本构造供需图景，将司机巡游和乘客需求嵌入网格行为模型，再优化司乘双向补贴的社会福利。,工作日/节假日、城区/郊区的异质时空样本；出租车与乘客采样点不一一对应；100个网格形成最短路、需求和交易概率矩阵。,cases/case-028.md,2015/B285_1B09001-B285“互联网+_时代的出租车资源配置-数学建模竞赛优秀论文下载_[1699714].pdf
case-029,2015,B309,1699715,“互联网+”时代的出租车资源配置模型,时空评价 | 回归 | 政策仿真,最近邻匹配度 | 时空半径指标 | S曲线拟合 | 补贴情景模拟,时空分布对照 | 拟合显著性 | 反例情景检验,以乘客周边可达出租车数量定义时空匹配难度，评价补贴成效并根据失效原因设计热点引导补贴。,2015年成都逐时出租车与需求位置数据，另含平台补贴、订单使用率、等待时间和空驶率等外部数据。,cases/case-029.md,2015/B309_1B23006-B309“互联网+”时代的出租车资源配置模型-数学建模竞赛优秀论文下载_[1699715].pdf
case-030,2015,B340,1699784,“互联网+”时代基于动态补贴的出租车资源优化配置,模糊综合评价 | 回归 | 政策仿真 | 约束优化,模糊综合评价 | 多元回归 | 高斯响应模型 | Logit模型 | 等步长搜索 | 动态补贴,宏微观结果对照 | 补贴情景仿真 | 匹配次数比较 | 模型局限分析,同时处理宏观城市评价、微观时空供需估计和补贴行为响应，并在供需改善与平台成本间折中。,宏观城市指标、深圳GPS/需求数据和平台补贴规则异源；坏值和经纬偏差需清理；拒单/拼车响应主要由假设函数刻画。,cases/case-030.md,2015/B340_1B27003-B340“互联网+”时代基于动态补贴的出租车资源优化配置-数学建模竞赛优秀论文下载_[1699784].pdf
case-031,2015,C019,1700972,古典诗词中天文知识的研究,机理建模 | 规则判定 | 时空枚举 | 模型校验,太阳与月亮位置模型 | 球面坐标转换 | 儒略日计算 | 时间区间交集 | 城市筛选算法,天文资料对照 | 高度角与方位角误差图 | 多城市计算 | 结果合理性检查,把文学意象定义为太阳、月亮高度角和观测几何的可计算阈值，再筛选时空上同时满足的日期与时段。,输入主要为城市经纬度、日期和天文常数；输出是离散时段集合。意象阈值来自人为几何假设，模型误差与阈值不确定性共同影响发生次数。,cases/case-031.md,2015/C019_1C14001-C019古典诗词中天文知识的研究-数学建模竞赛优秀论文下载_[1700972].pdf
case-032,2015,C049,1700971,“月上柳梢头，人约黄昏后”数学模型的建立,机理建模 | 时间区间筛选 | 阈值判定 | 空间推广,太阳赤纬与时角模型 | 月亮黄经黄纬模型 | 球面三角 | 区间交叠判定 | 全年枚举,天文资料逐时刻对照 | 最大最小时间误差 | 七城市结果比较,以可解释的视觉几何定义诗词意象，计算日月事件时段，并研究发生次数随城市纬度的变化。,城市经纬度和全年日期可穷举；模型采用简化天文公式，时间误差以分钟计；发生次数对月亮高度15°～18°和至少5分钟交叠阈值敏感。,cases/case-032.md,"2015/C049_1C12001-C049“月上柳梢头,人约黄昏后”数学模型的建立-数学建模竞赛优秀论文下载_[1700971].pdf"
case-033,2015,D001,1700975,众筹筑屋规划方案设计,财务核算 | 整数规划 | 多目标优化 | 政策约束,土地增值税分段核算 | 满意度最大化整数规划 | 分层序列多目标法 | 迭代调价,Excel复核 | 约束可行性检查 | 方案III/IV对比 | 迭代终止检查,在房型套数、容积率、税收和回报率约束下配置住宅，并处理满意度与投资回报的目标冲突。,11类房型、套数整数上下界和面积约束；税率/免税规则形成分段非光滑收益；满意比例来自问卷，方案比较高度依赖目标定义。,cases/case-033.md,2015/D001_1D11001-D001众筹筑屋规划方案设计-数学建模优秀论文下载_[1700975].pdf
case-034,2015,D020,1700974,众筹筑屋规划方案设计模型,财务核算 | 非线性规划 | 比例匹配 | 可行性优化,土地增值税核算 | 归一化需求比例 | 最小二乘非线性规划 | 回报率约束,核算闭环 | 约束检查 | 方案I/II/III比较,让规划房型比例尽量贴近参筹者满意需求比例，并在容积率、套数边界和最低回报率下保持可执行。,11房型的满意比例、面积、成本、售价与套数上下界；比例目标的分母含总套数，形成非线性；税收和容积率要求严格核算。,cases/case-034.md,2015/D020_1D22001-D020众筹筑屋规划方案设计模型-数学建模优秀论文下载_[1700974].pdf
case-039,2016,A28,1699719,系泊系统设计（原PDF首页题名缺失）,机理 | 多目标优化 | 数值求解,静力平衡递推模型 | 锚链触底修正 | 最小二乘循环搜索 | 熵权多目标规划 | 变步长搜索,步长缩小精度检验 | 约束可行性检查 | 灵敏度分析 | 情景分析,在风、水流与水深变化下，确定锚链型号/长度和重物球质量，使浮标吃水、游动半径及钢桶倾角尽可能小，同时满足锚点角度等安全约束。,物理参数和少量离散情景为主，无训练样本；系统由浮标、4节钢管、钢桶、约210节链环和锚组成，变量经构件递推强耦合，且存在锚链部分触底的状态切换。,cases/case-039.md,2016/A28——2016高教社杯全国大学生数学建模竞赛论文展示-组委会指定唯一发布网站_[1699719].pdf
case-035,2016,C014,1699792,电池剩余放电时间预测,预测 | 回归拟合,二次多项式回归 | 对数电流-系数回归 | 差值比外推模型,决定系数R² | 平均相对误差MRE | 残差分析 | 近邻实测值对比,由当前电压、恒定放电电流和电池衰减状态，预测到9V保护电压前的剩余放电时间，并把只在9个电流档位可用的曲线推广到20A-100A任意电流。,附件含20A至100A共9组恒流放电的电压-时间序列，以及新电池和多个衰减状态的曲线；电压随时间单调下降，各组长度和量纲一致，但衰减状态3只有前段观测。,cases/case-035.md,2016/C014——2016高教社杯全国大学生数学建模竞赛论文展示-组委会指定唯一发布网站_[1699792].pdf
case-036,2016,D016,1701573,风电场运行状况分析及优化研究,评价 | 回归拟合 | 优化,风能资源指标体系 | 二次功率曲线拟合 | 整数规划 | 循环排班,国家标准阈值核对 | R²与RMSE比较 | 模型改进前后对比 | 约束可行性检查,用一年运行数据评价风资源与利用效率，判断新旧风机匹配，并在维护法规、人员连续工作与发电损失约束下安排124台风机的两次年度维护。,一年15分钟风速和日输出功率，含缺失、录入错误及离群点；另有6台典型风机位置数据、5种机型参数、124台风机和4组维修人员。评价、拟合与离散排班共用月份发电收益。,cases/case-036.md,2016/D016——2016高教社杯全国大学生数学建模竞赛论文展示-组委会指定唯一发布网站_[1701573].pdf
case-037,2016,D034,1701574,风电场运行状况分析及优化模型,评价 | 概率建模 | 多目标优化,风资源参数评价 | Weibull风速分布 | 功率曲线拟合 | 双目标规划 | 启发式排班,数据完整性与合理性检验 | 行业基准对比 | 额定功率-实际功率双角度核对 | 约束可行性检查,将风速统计分布转化为资源储量和机型年发电量，再在维护安全、连续工作与工作量均衡之间求取可实施的双目标排班。,全年15分钟风速与日功率，含少量缺失和格式错误；典型机位风速、现有/候选机型参数；124台风机、4组人员。风速是时间序列，但论文主要按经验分布和月份聚合使用。,cases/case-037.md,2016/D034——2016高教社杯全国大学生数学建模竞赛论文展示-组委会指定唯一发布网站_[1701574].pdf
case-038,2016,D056,1699789,风电场运行状况分析及维护计划优化,评价 | 回归拟合 | 多目标优化,标准化风资源评价 | 定积分利用率模型 | 偏差标准差与协方差 | 容量系数选型 | 双目标启发式调度,完整性与合理性检验 | 趋势一致性分析 | 多指标机型核对 | 人员台次均衡检查,从有错误的全年风速/功率数据中恢复可信资源评价，同时用容量系数和有效风时选机型，并在风速信息有无两种情境下均衡年度维修任务。,全年15分钟序列有1个缺失和9个无效值；理论功率与实际功率粒度不同，需要插值和积分；6个机位、5种机型；排班为人员×风机×维护段的高维0-1问题。,cases/case-038.md,2016/D056——2016高教社杯全国大学生数学建模竞赛论文展示-组委会指定唯一发布网站_[1699789].pdf
case-040,2017,A298,1699823,CT系统参数标定及反投影重建成像,逆问题 | 图像重建 | 评价,简化离散标定模型 | Radon变换 | R-L滤波反投影 | Wiener自适应滤波 | 归一化均方差评价,已知模板反演 | 滤波器对比 | 归一化均方差 | 参数步长稳定性分析,利用已知几何模板的投影数据反标定CT旋转中心、探测器间距和180个射线方向，再据此重建两个未知介质并评估标定精度与稳定性。,标定数据为180×512投影矩阵，模板为256×256吸收率图；旋转中心偏离托盘中心、数据经过未知增益，未知介质数据还可能含噪。几何结构已知，但直接方程组规模巨大。,cases/case-040.md,2017/A298_2017年全国大学生数学建模竞赛论文展示(A298)_[1699823].pdf
case-041,2017,D035,1699811,基于最短路模型和背包模型的巡检线路排班方案,网络 | 优化 | 排班,无向赋权图 | 分段最短路启发式 | 背包分段模型 | 轮岗轮班,约束逐项核验 | 情景对比 | 吃饭时间灵敏度 | 中间点稳健性分析,在巡检周期、服务时长和道路网络约束下，确定覆盖26点的短回路、每班最少人数及固定/错时上班方案，并均衡三班和个人工作量。,26个节点、稀疏无向边及行走时间；各点巡检周期和服务时长不同；每天三班，每班8小时，另有休息/吃饭情景。路径、周期覆盖与人员分段互相耦合。,cases/case-041.md,2017/D035_2017年全国大学生数学建模竞赛论文展示(D035)_[1699811].pdf
case-042,2018,A229,1699835,基于非稳态导热的高温作业专用服装设计,机理 | 数值求解 | 优化,一维非稳态热传导方程 | 后向Euler有限差分 | 黄金分割搜索 | 二维网格搜索,实测皮肤温度拟合 | 反向空间差分检验 | 约束可行性检查 | 厚度响应曲线,由一次高温假人实验标定四层服装的边界换热，再在不同环境温度和作业时长下选择II/IV层最小或折中厚度，使皮肤温度与高温持续时间受控。,四层材料密度、比热、导热率和厚度已知；附件2给5400秒皮肤外侧温度序列。空间上是异质分层介质，时间上非稳态；问题2/3改变环境温度和厚度，属于模型外推。,cases/case-042.md,2018/A229_2018年全国大学生数学建模竞赛论文展示(A229)_[1699835].pdf
case-043,2018,A440,1699834,高温作业服设计,机理 | 参数估计 | 多目标优化,一维非稳态传热模型 | 显式有限差分 | 最小二乘参数估计 | 厚度约束优化 | 辐射扩展模型,实测拟合 | 显式格式稳定性检验 | 热辐射对照 | 厚度作用对比实验,从皮肤温度实验估计服装两端换热系数，求四层瞬态温度场，并设计II/IV层厚度以兼顾安全、节材、稳定与研发效率。,多层异质介质、末端温度5400秒观测、两个未知边界换热系数；优化变量少但每次评价为瞬态PDE。问题3包含成本、舒适、稳定等难统一量纲的目标。,cases/case-043.md,2018/A440_2018年全国大学生数学建模竞赛论文展示(A440)_[1699834].pdf
case-044,2018,A466,1699833,高温作业专用服装设计,机理 | 参数估计 | 优化,一维复合介质导热 | Crank-Nicolson有限差分 | 均方根误差标定 | 定步长-区域搜索,实测误差曲线 | 厚度灵敏度 | 换热系数灵敏度 | 约束可行域检查,用稳定的隐式差分求多层服装瞬态温度，标定两端对流换热系数，并在安全约束下搜索最节材的II/IV层组合。,四层复合材料、一个皮肤温度时间序列、两个未知换热系数；厚度制造存在偏差，需判断结果对各层与参数误差是否敏感。,cases/case-044.md,2018/A466_2018年全国大学生数学建模竞赛论文展示(A466)_[1699833].pdf
case-045,2018,B203,1699831,基于0-1规划的单RGV动态调度模型,优化 | 调度 | 仿真,0-1规划 | 双目标规划 | 启发式调度 | 蒙特卡洛故障仿真,理想产量上界对比 | 三组参数交叉检验 | 两种调度策略对比 | 仿真数据再检验,在8台CNC共享1辆RGV的离散制造系统中，联合决定服务次序和双工序刀具布局，使8小时内成料数最大，并把随机故障纳入同一事件推进框架。,仅有3组确定性作业参数；系统具有位置、奇偶机台上下料时间、工序先后和8小时截止等离散约束，故障概率与维修时长则人为设定。,cases/case-045.md,2018/B203_2018年全国大学生数学建模竞赛论文展示(B203)_[1699831].pdf
